# Final state angular momentum:   1
# Broadening parameter (in eV):    0.700
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
  -10.00000000    0.00001615
   -9.93993994    0.00001623
   -9.87987988    0.00001632
   -9.81981982    0.00001640
   -9.75975976    0.00001649
   -9.69969970    0.00001658
   -9.63963964    0.00001667
   -9.57957958    0.00001676
   -9.51951952    0.00001685
   -9.45945946    0.00001694
   -9.39939940    0.00001703
   -9.33933934    0.00001712
   -9.27927928    0.00001722
   -9.21921922    0.00001731
   -9.15915916    0.00001741
   -9.09909910    0.00001751
   -9.03903904    0.00001761
   -8.97897898    0.00001771
   -8.91891892    0.00001781
   -8.85885886    0.00001791
   -8.79879880    0.00001802
   -8.73873874    0.00001812
   -8.67867868    0.00001823
   -8.61861862    0.00001834
   -8.55855856    0.00001844
   -8.49849850    0.00001855
   -8.43843844    0.00001867
   -8.37837838    0.00001878
   -8.31831832    0.00001889
   -8.25825826    0.00001901
   -8.19819820    0.00001913
   -8.13813814    0.00001925
   -8.07807808    0.00001937
   -8.01801802    0.00001949
   -7.95795796    0.00001961
   -7.89789790    0.00001974
   -7.83783784    0.00001987
   -7.77777778    0.00002000
   -7.71771772    0.00002013
   -7.65765766    0.00002026
   -7.59759760    0.00002040
   -7.53753754    0.00002053
   -7.47747748    0.00002067
   -7.41741742    0.00002081
   -7.35735736    0.00002095
   -7.29729730    0.00002110
   -7.23723724    0.00002124
   -7.17717718    0.00002139
   -7.11711712    0.00002154
   -7.05705706    0.00002170
   -6.99699700    0.00002185
   -6.93693694    0.00002201
   -6.87687688    0.00002217
   -6.81681682    0.00002234
   -6.75675676    0.00002250
   -6.69669670    0.00002267
   -6.63663664    0.00002284
   -6.57657658    0.00002302
   -6.51651652    0.00002319
   -6.45645646    0.00002337
   -6.39639640    0.00002356
   -6.33633634    0.00002374
   -6.27627628    0.00002393
   -6.21621622    0.00002412
   -6.15615616    0.00002432
   -6.09609610    0.00002452
   -6.03603604    0.00002472
   -5.97597598    0.00002493
   -5.91591592    0.00002514
   -5.85585586    0.00002535
   -5.79579580    0.00002557
   -5.73573574    0.00002579
   -5.67567568    0.00002602
   -5.61561562    0.00002625
   -5.55555556    0.00002649
   -5.49549550    0.00002673
   -5.43543544    0.00002697
   -5.37537538    0.00002722
   -5.31531532    0.00002748
   -5.25525526    0.00002774
   -5.19519520    0.00002800
   -5.13513514    0.00002827
   -5.07507508    0.00002855
   -5.01501502    0.00002883
   -4.95495495    0.00002912
   -4.89489489    0.00002942
   -4.83483483    0.00002972
   -4.77477477    0.00003003
   -4.71471471    0.00003035
   -4.65465465    0.00003067
   -4.59459459    0.00003100
   -4.53453453    0.00003134
   -4.47447447    0.00003169
   -4.41441441    0.00003205
   -4.35435435    0.00003241
   -4.29429429    0.00003279
   -4.23423423    0.00003317
   -4.17417417    0.00003357
   -4.11411411    0.00003397
   -4.05405405    0.00003439
   -3.99399399    0.00003482
   -3.93393393    0.00003526
   -3.87387387    0.00003571
   -3.81381381    0.00003617
   -3.75375375    0.00003665
   -3.69369369    0.00003715
   -3.63363363    0.00003765
   -3.57357357    0.00003818
   -3.51351351    0.00003872
